,desc,location,size,value
633,this is an asian house located in nairobi west ghandhi avenue which has been divided into several residential units and commercia...,"Gandhi Ave Nairobi West, Nairobi West, Nairobi",10,80000000
638,>located 200 metres from tarmac >gated community >water and electricity on site >large living and dinning rooms >modern open kitc...,"Mukoma Rd Nairobi, Karen, Nairobi",10,120000000
687,The house is tucked at old runda close to the main runda gate on limuru rd. Salient features include: * a generous...,"Ruaka rd, Runda, Nairobi",10,160000000
1250,This expansive luxurious defined mansion ten bedrooms is located in the leafy surbub of Karen Hardy all ensuit semi furnished wit...,"Karen, Nairobi",10,155000000
1264,10 bedroom mansion for sale in Karen build on half an acre (free hold) Key features: -10 bedroom -Semi-furnished. -All ensuits. -...,"Karen, Nairobi",10,155000000
1271,10 bedrooms Semi furnished 2 kithen 2 living rooms 1 lounge 1 dinning Large en closed terrace Gym and office rooms Front...,"Karen, Nairobi",10,155000000
1277,10 bedrooms Semi furnished 2 kithen 2 living rooms 1 lounge 1 dinning Large en closed terrace Gym and office rooms Front...,"Karen, Nairobi",10,155000000
163,"Karen end - dagorreti 3 storey house for sale in karen near Karen end villas. 9 bedrooms 3 sitting rooms, 2kitchens. Upper...","Dagoretti Rd Karen, Karen, Nairobi",9,30000000
253,"This is a 9 Bed Room Residence Strategically Located within a Serene Gated Community Compound. >main house. > 4 Bed Rooms, >All...","PAN AFRICAN INS AVENUE, Runda, Nairobi",9,120000000
483,"9 bedrooms home with geustwing, beautiful garden on 1 acre plot","Lavington green , Lavington, Nairobi",9,250000000
829,9 Bedrooms House on 1/2 acre Swimming Pool Asking: 150 million Call: 0727394867,"Runda Vale Kitisuru, Runda, Nairobi",9,150000000
1161,"Located in Nyari estate is this 9 Bedroom House on 3/4 Acre all en suite with very spacious rooms, living room with...","Nyari, Nairobi",9,250000000
1243,"Runda Mumwe ambassadorial, American style 9 bedroom maisonette for sale . property features: -All bedrooms are ensuite. -2 bedroo...","Runda, Nairobi",9,200000000
28,Runda-Mimosa. On 1ac piece of land 8 bedrooms all en suit 3 seating areas Laundry room. Garage for two cars Big compound.,"Mimosa Dr Kitisuru, Runda, Nairobi",8,190000000
44,"Located in the Serene, quite, Secure and leafy suburbs of Gigiri, overlooking the densely green Karura Forest is this; >>2. 5 Acr...","GIGIRI ROAD, Gigiri, Nairobi",8,650000000
182,"Spectacular, double storey modern house with Swimming pool. Amenities: * Wardrobes. * Spacious Kitchen. *Adequate water Perimeter...","Lavington, Lavington, Nairobi",8,265000000
378,8 bedroomed house on 1. 1 Acre slightly sloped garden located within a gated controlled area in Kitisuru The main house consists....,"Kitisuru, Nairobi",8,150000000
399,This a great deal now offerd at nyari it is a eight bedroom house all bedrooms en-suite plus it has a specious...,"Red Hill Dr Kitisuru, Nyari, Nairobi",8,120000000
436,An Expansive & Magnificent 8 Bedroom (all en suite) Ambassadorial Mansion stretching on 0. 5 acres of Lush Green private mature G...,"United Nations Ave Kitisuru, Gigiri, Nairobi",8,320000000
441,"/1 Acre, /8 bedrooms, 5 en suite /13 rooms in Total, /Spacious lounge with a fire place, /Dining area, /Spacious Closed Kitchen,....","Robins Dr Kitisuru, Nyari, Nairobi",8,305000000
498,Karen -An Outstanding brand new 8 bedroom house in a gated community of 10 houses for sale. ?. ? This spacious 8...,"Karen 8 bedroom House for sale, Karen, Nairobi",8,75000000
499,Spacious 8 bedroom house for sale is on 0. 5 acre plot located in Gigiri estate and fronting Limuru road. Prime for...,"Gigiri, Nairobi",8,230000000
519,Well kept 8bedrooms house on 1/2 acre beautiful and mature garden in Nyari central,"Red hill road , Nyari, Nairobi",8,120000000
684,In the seclusive Nyari Estate is this; >8 Bed Rooms House. >7 Bed Rooms En Suite. >Master Bed Room with a Jacuzzi.,"Red Hill rd,Nyari, Nyari, Nairobi",8,300000000
699,This exclusive Ambassadorial home is set in a lush haven of tranquility and privacy with panoramic views of the mature landscaped...,"8 Bedroom Ambassadorial For Sale In Lavington, Lavington, Nairobi",8,400000000
763,Located in Nyari Estate one of the city’s most sought after area is a spectacular and charming residential home offering Nyari Es...,"A Breathtaking Luxurious 6 Bedroom House for Sale In Nyari, Nyari, Nairobi",8,130000000
772,Located inside the most sort after Nyari Estate . Very secure with CCTV surveillance around the estate. Within minutes drive to t...,"Nyari, Nairobi",8,280000000
777,8 bdr house in old kitisuru Asking: 145 million On 1. 1 acres land,"Kitisuru, Nairobi",8,145000000
793,"Prime property for sale in old kitisuru 8 bedroom multi level house for sale Sitting on 1. 1 acres, in a secure...","2.0A1 Kitisuru Rd, Kitisuru, Nairobi",8,145000000
893,Up for sale is an exquisite eight bedroom ambassadorial house in the heart of Runda: 5 bedrooms in Main house and 3...,"Runda, Nairobi",8,300000000
985,"Eight (8) bedroom Five (5) en-suite triple storied AMBASSADORIAL house for sale, Very spacious lounge and dinning areas, meeting ...","Off James Gichuru Road, Lavington, Nairobi",8,170000000
986,Newly constructed elegant 8 bedroom house with a swimming pool on 0. 5 acre in Runda Estate All bedrooms are ensuite It...,"Runda, Nairobi",8,200000000
1049,"The house offer 8 bedrooms, exquisite fireplace, spacious lounge and an equally spacious and separate dining area, guest toilet, ...","Mimosa , Runda, Nairobi",8,125000000
1107,"Newly Build 8 Bedrooms A Charming Double Storey family house located Close to the village market, UN Offices, Embassies, and scho...","Runda Close to UN , Runda, Nairobi",8,135000000
1347,"Nestled in the enchanting, serene suburb of Runda is an 5-bedroom villa with a 3 bedroom guest wing on 0. 5 acres...","Runda Evergreen, Runda, Nairobi",8,100000000
26,Being in the heart of Runda Estate is this 5 Bedrooms Villa in a gated compound With easy proximity to UN offices...,"Evergreen, Runda, Nairobi",7,140000000
46,This house has charm and character located at Lower Kabete It seats on . 75 Acres of land with well manicured garden...,"LOWER KABETE ROAD, Westlands, Nairobi",7,150000000
86,"Stunning double storey home with a pool on a flat 2. 5 acre, mature garden. Features: •	Spacious lounge, dining & family room.","Peponi Road, Kitisuru, Nairobi",7,450000000
141,This 7 bedroom mansion for sale is located in the exclusive Thigiri surburbs and has the following features; i -Living and dining...,"Thigiri, Nairobi",7,170000000
159,This super house has 7 bedrooms with a guest house. Has a swimming pool and servants quarters for 2. It is standing...,"James Gichuru Road , Lavington, Nairobi",7,400000000
267,An old double storey house for sale in a compound of 4. 1 acres piece of land in a quiet and secure...,"Muthaiga, Nairobi",7,1000000000
335,"spacious and precious stand alone house 7bedroom 4ensuite , situated in a serene environment along runda, it has the following fe...","188 Mimosa Gardens, Runda, Nairobi",7,110000000
355,"Luxury and comfort describe this 11, 000sqft mansion on a leafy 2. 5acreage overlooking Karura forest. Its built on a three level...","Gigiri, Nairobi",7,650000000
357,This is a great deal now offerd at the suburb of karen it has the following features specious kitchen seven bedroom house...,"205 Karen Plains Rd, Karen, Nairobi",7,125000000
359,We are offering this upmarket mansion built on 2. 5acres in the Karen suburb. With 80% complete it features: -well fitted kitchen...,"Karen, Nairobi",7,350000000
375,All bedrooms en suite and fitted with a Jacuzzi. Large balcony to the bedrooms and the family room. Open kitchen with space...,"Lavington, Lavington, Nairobi",7,450000000
420,"Beautiful Mansion House For Sale in the upmarket of Kitisuru Area, . Has 7Bedrooms . Has External Cottage, . Has Ample Parking,...","Forward Cl Kitisuru, Kitisuru, Nairobi",7,450000000
421,Its a precious and lustrous double storey house 7 bedroom all en suite with a staff quarters for two. located in runda...,"runda mimosa , Runda, Nairobi",7,110000000
454,"Strategically located, 7 Bed Room Residence. Main House is 5 Bed Room, 3 en suite, Entrance Double height Porch, separate Sitting...","Mimosa drive, Runda, Nairobi",7,110000000
477,A specious house located in the heart of Runda in a serene environs. It has the following features; It is three levels...,"Runda Mimosa, Runda, Nairobi",7,100000000
482,"The house has a spacious living room space overlooking the garden, a dining area and large kitchen with big bright window. The...","Peponi Road, Peponi, Nairobi",7,90000000
502,An old double storey house for sale in a compound of 4. 1 acres piece of land in a quiet and secure...,"Muthaiga, Nairobi",7,1000000000
582,"This is seven bedrooms house on sale by bank in Karen plain, sit on 2/3 of an acre plus geustwing of 3...","Karen plains , Karen, Nairobi",7,125000000
585,"7 bedroom ambassadorial house all ensuite with two living room, family room two bedroom guest wing dsq for 2 landscaped garden, e...","Marist lane, Karen, Nairobi",7,140000000
609,"Located in the serene surbub in Nyari 1/2acre piece of land Spacious lounge, safe haven, large dining area, modern kitchen with p...","Red Hill Rd Kitisuru, Nyari, Nairobi",7,300000
614,Located in a serene compound at Thigiri ridge and seats on one acre flat land Ambassadorial in stature and wrapped in charm...,"THIGIRI RIDGE, Thigiri, Nairobi",7,180000000
655,"7 bedrooms house all ensuit on 3. 1acres, with swimming pool, gazebo, external cottage, the interior built by Italian with teak w...","Kitisuru road , Kitisuru, Nairobi",7,450000000
667,In the highly priced area of Kitisuru is this fairly old but in very good condition 7 Bed Rooms double story house...,"Kitisuru Rd, Kitisuru, Nairobi",7,170000000
672,"Larger than half an acre plot for sale in westlands brook side with a 5 bedrooms double storey house , ideal for...","Brook side , Westlands, Nairobi",7,230000000
675,"Larger than half an acre plot for sale in westlands brook side with a 5 bedrooms double storey house , ideal for...","Brook side , Westlands, Nairobi",7,230000000
730,"7 bedroom house in Hill view crescent, next to spring valley All bedrooms ensuite 1 bdr guest house 2 bdr sq Heated...","Spring Valley, Nairobi",7,150000000
736,0. 28 Acre Developed (with Bungalows) Property on Second Parklands Ave Highridge. The property consists of a Bungalow with two un...,"0.28 Acre Developed (with Bungalows) Property on Second Parklands Ave Highridge, Parklands, Nairobi",7,150000000
737,Features: | lounge area | dining area | waiting lounge | cloak room | well fitted kitchen with pantry | laundry area...,"Runda, Nairobi",7,180000000
745,"Beautiful, newly refurbished family home is a 3-level storey, situated in a quiet cul-de-sac and is comprised of;- Main house •	G...","2.0A1 Kitisuru Rd, Kitisuru, Nairobi",7,150000000
755,"Description: It is a 7 bedroom all ensuite, family room, gym, entertainment area, movie theatre, office, backup generator and a b...","RUNDA CLOSE TO UN OFFICES,INTERNATIONAL SCHOOLS & SHOPPING MALLS, Runda, Nairobi",7,240000000
756,"Runda brand new Ambassadorial Home for sale, large 7 bedrooms all en-suite, balconies, Family room/office/study room, Movie theat...","Runda close to UN offices,International schools & shopping malls, Runda, Nairobi",7,240000000
819,Located in the heart of Old Runda this 7 bedrooms house sit on 0. 5 acre of beautiful mature garden . It...,,7,150000000
890,"7 bedroom mansionatte in Ongata Rongai, along mayor Rd, sitting on quarter an acre, to be completed by end of February. Asking...","Mayor Rd Nairobi, Ongata Rongai, Nairobi",7,24000000
898,Located close to BRAEBURN SCHOOL. A well designed and tastefully built 5br bedroom double storey house sitting on beautifull matu...,"Runda,Nairobi , Runda, Nairobi",7,130000000
931,Outstanding 7 bedrooms home in for sale Runda . A private drive way lead to the large compound with this magnificent triple...,"Runda, Nairobi",7,120000000
963,"Quick sale two and half acres with seven bedrooms house, selling with bank. Black American living there.","Mua park road, Muthaiga, Nairobi",7,410000000
1030,"House for sale in old kitisuru, tate close 7 Bedroom house in 3. 1 acres with swimming pool, Gazebo, External Cottage .","Kitisuru, Nairobi",7,450000000
1050,. Spacious 7 bedrooms en suite modern house with a servant quarter . Spacious High Ceiling living room with a Fire place...,"Thome, Nairobi",7,72000000
1063,7 bedroom house on 1/8 of an acre for sale in Rongai (Exciting estate)near Laiser Hill Academy. The house has two housing...,"Ongata Rongai, Nairobi",7,11000000
1114,"“If you don’t own a home, buy one. If you own a home, buy another one. If you own two homes, buy...","30 Mimosa Close, Runda Mimosa Rd, Runda, Nairobi",7,140000000
1123,"Located close to the Village market, UN Offce Complex, US Embassy, A spacious and well presented double storey house on 0. 5...","Runda Road Close to the Village Market , Off UN avenue, Runda, Nairobi",7,130000000
1144,"Magnificent 7 bedroom all ensuite house in Runda Estate Nairobi is up for grabs. This houses has the following features, -7 bedro...","Runda, Nairobi",7,200000000
1196,On 0. 5 acres of land located in Runda near schools shopping malls etc Features: All ensuite bedrooms plus 2 guest wings...,"Runda, Nairobi",7,150000000
1221,"Located close to the Village Market, UN Offices, A delightful double storey house with Swimming Pool, on 1 acre of well mantained...","Runda Road Close to the Village Market , Off UN avenue, Runda, Nairobi",7,140000000
1266,It's 8bedrooms ambassadorial house all bedrooms are ensuite with family room and very spacious kitchen. It has two bedrooms guest...,"Panafrican insurance road, Gigiri, Nairobi",7,200000000
1313,This is a 7 bedroom all en suite maisonette in Karen. It has an sq and a guest house. It sits on...,"Karen, Nairobi",7,250000000
1319,This is a 7 bedroom all en suite maisonette in Karen. It has an sq and a guest house. It sits on...,"Karen, Nairobi",7,250000000
1334,A Beautiful 7 Bedroom House -close to Lavington Green shoping mall Elegant house located in the heart of Lavington in a prime...,"Off Kabarsiran Ave Muthangari, Lavington, Nairobi",7,
22,"Very modern and executive. High end finishing. 1, 000sq meters eco- friendly ambassadorial house siting on 0. 58 acres. Beautiful...","48 Mimosa Cl, Runda, Nairobi",6,170000000
42,This is a relatively New House. Ground floor. Sitting and Dining. Sitting with a Fire Place Open Plan Kitchen; Breakfast Table Gu...,"PAN AFRICAN INS AVENUE, Runda, Nairobi",6,170000000
62,Its a precious and lustrous double storey house 6 bedroom all en suite with a staff quarters for two. located in runda...,"off pan afric, Runda, Nairobi",6,170000000
70,"Description: -1, 000 sq meters eco-friendly Ambassadorial house, -Sitting on 0. 58 acres, -Beautiful and mature tiered lawns at t...","Runda, Nairobi",6,250000000
72,Location: Runda Mimosa Parcel Size: 0. 5 acres Main house: 6 bedroom all ensuite Guest house: 2 bedrooms all ensuite DSQ: 1...,"Mimosa Dr Kitisuru, Runda, Nairobi",6,130000000
80,"A uniquely situated double storey house, in Mashroom Estate on half an acre piece of land along Kiambu road. Its suitable for...","115 Kiambu Rd, Kiambu Road, Nairobi",6,60000000
85,"This residential development at the heart of the quiet and serene suburb of Lavington OFF CONVENT ROAD, offers a very well planne...","Convent Rd Maziwa, Lavington, Nairobi",6,125000000
177,This magnificent beauty donning Runda mae is a must see to be appreciated. Convenienrly located with easy proximity to UN Gigiri ...,"Runda, Nairobi",6,145000000
193,Are you looking for home with character in a serene green environment? We offer you this majestic 6 bedroom all ensuite home...,"Thigiri Ln Kitisuru, Thigiri, Nairobi",6,185000000
227,"6 bedrooms house on 2. 5 acres with a swimming pool 2 bedrooms guesthouse, generator, Victorian master bedroom with a big walking...","Muthaiga, Nairobi",6,400000000
231,"Elegant house located in the heart of Karen, Karen Plains in a prime area just close to the former VPs residence and...","205 Karen Plains Rd, Karen, Nairobi",6,65000000
250,* Located at the quiet and serene environment of Karen * 5 minutes walk to Karen Shopping Centre and 10 minutes to...,"Karen, Karen, Nairobi",6,90000000
337,A 6 Bed (all ensuite) brand new villa sitting on an Eighth acre beautiful mature garden in a developed & controlled gated...,"Community Rd Syokimau, Syokimau, Nairobi",6,23000000
341,This is a luxurious and spacious home in an affluent gated complex with high security features. Each home has its own swimming...,,6,
360,"The house sits on 1/2 acre and is within close proximity to schools, shopping centers, malls, hospitals and other social amenitie...","13 Runda Drive, Runda, Nairobi",6,190000000
365,Located in the suburbs of New Muthaiga is this classic colonial type house with very spacious rooms and compound. The house sits....,"Thigiri Grove , New Muthaiga, Nairobi",6,195000000
376,All bedrooms en suite. Open kitchen with space for movements and kitchen activities and fitted fridge and microwave. The finishes...,"Lavington, Lavington, Nairobi",6,65000000
382,* An Ambassadorial House sitting on 0. 5 acres of land * Swimming Pool * Surveillance Cameras * Borehole * Gym *...,"Karen, Karen, Nairobi",6,120000000
406,"The house sits on 1/2 acre and is within close proximity to schools, shopping centers, malls, hospitals and other social amenitie...","48 Mimosa Cl, Runda, Nairobi",6,210000000
415,ambassadorial magnificent fabulous cozy and very ideal for a corporate,"Windy Ln Karen, Karen, Nairobi",6,105000000
442,Located at Thome one and seats on . 75 Acres Six bedroom house Master en suit Very spacious lounge has a separate...,"Thome One, Thome, Nairobi",6,60000000
455,Located 250 meters from Riviera mall is this magnificent home in Runda's mimosa court with perfect lawns on freehold title Guest ...,"30 Mimosa Close, Runda Mimosa Rd, Runda, Nairobi",6,110000000
472,Its 6 bedrooms all ensuite with family room library and open kitchen. It has two sq generator and swimming pool all on...,"Runda, Nairobi",6,180000000
475,"Located in the heart of Lavington, this beautiful ambassadorial house sits on 1 acre along TENDE drive . Tende drive boasts some....",,6,400000000
504,This is a Spacious and well maintained 6 bedrooms double storied house sitting on half acre mature flat well kept garden. MAIN...,"Peponi Rd Kitisuru, Peponi, Nairobi",6,85000000
510,All bedrooms en suite and fitted with a Jacuzzi. Open kitchen with space for movements and kitchen activities and fitted fridge a...,"Lavington, Nairobi",6,63000000
514,Ambassadorial house in Runda on Mimosa Drive-off Limuru Road and near both the Two Rivers and Village Market Malls for 110m Specs...,"Mimosa Drive, Runda, Nairobi",6,110000000
533,This beautiful family home is set on half an acre of mature landscaped gardens with in a private gated community of only...,"Runda, Nairobi",6,105000000
553,Features : 0. 5acres Ample parking Solar hiter Perimeter wall 24/7 security Clean title Buck up generator,"Runda water , Runda, Nairobi",6,155000000
588,Spacious master bedroom with built in wardrobe • Spacious lounge with fire place • Dining area • Guest bedroom and cloak room...,"237 Magadi Rd, Ongata Rongai, Nairobi",6,20000000
597,"This is a 5 Bedroom storey house with 4 staff quarters on 1. 25 acre, near Royale club in Nairobi, Karen is...","Bogani Rd Nairobi, Karen, Nairobi",6,130000000
599,"Located in the quite and leafy surbub of runda is a 6Bedroom house all ensuite with a closed kitchen, high ceilings, fully...","Ruaka Rd Kitisuru, Runda, Nairobi",6,145000000
632,This is a six bedroom house for sale at karen it located in the suburb of silent clean environment all bedrooms en-suite...,"132 Masai W Rd, Karen, Nairobi",6,280000000
654,"DESCRIPTION: An ambassadorial style house with spacious entertainment areas. Entrance Hall, Cloakroom, Kitchen, Sitting Room, Din...","Ruaka Drive, Runda, Nairobi",6,210000000
662,Runda 6 bedroom for sale at 170m. Beautiful garden Unique modern Design Curved roofs Ample parking High ceilings Fully carpeted U...,"Runda, Nairobi",6,170000000
707,6 bedrooms house sitting on 2. 5 acres in old muthaiga. Asking price 600 million. It's freehold,"Chui road, Muthaiga, Nairobi",6,600000000
717,This is a 6 Bed Rooms Double Story House. >All Bed Rooms are En Suite. >Wooden Ward Robes in all Bed Rooms.,"Manyani Rd , Lavington, Nairobi",6,320000000
720,Strategically Located is this 6 Bed Rooms Double Story House. On a PRIME 0. 85 Acres Plot which can be Redeveloped with...,"Jacaranda Ave Lavington, Lavington, Nairobi",6,400000000
733,"A stand-alone house within a small neighborhood, containing 6 bedrooms within the house and an additional separate en-suite guest...",,6,79000000
740,"5 bedroom house , all ensuite for sale in Runda Mimosa. It has a swimming pool and build on 1/2 an acre.","Runda, Nairobi",6,100000000
759,House for sale in Runda drive Features: -Ambassadorial home -6 bedroom all ensuite with balconies -Double storey house -Gym -Big ...,"Runda, Nairobi",6,350000000
760,House for sale in Runda drive Features: -Ambassadorial home -6 bedroom all ensuite with balconies -Double storey house -Gym -Big ...,"Runda, Nairobi",6,350000000
773,House for sale in Runda drive Features: -Ambassadorial home -6 bedroom all ensuite with balconies -Double storey house -Gym -Big ...,"Runda, Nairobi",6,350000000
775,"Runda Mimosa House for sale , its sitting on 1/2 acre of land , it is a 6 bedrooms house , with...","Mimosa Drive, Runda, Nairobi",6,110000000
778,"This lovely property is a nature lover's dream. Surrounded by a lush garden, and trees, with mature flowers, it is an amazing...",,6,70000000
780,House for sale in Runda drive Features: -Ambassadorial home -6 bedroom all ensuite with balconies -Double storey house -Gym -Big ...,"Runda, Nairobi",6,350000000
782,"This property consists of 2 houses sitting on an acre, each with its own garden, parking and driveway. It accommodates 2 families...",,6,150000000
816,"This gorgeous home, has lush gardens, a lot parking space and is in the heart of Karen. It is next to all...",,6,85000000
817,one of a kind house sitting in a 3/4 of an acre in a serene environment. It's a six bedroom house all...,"Runda, Nairobi",6,130000000
848,"7 bedroom all ensuite with 2 bedroom guest wing well manicured lawn, large storage water facility and two lounges, two kitchen an...","Ambassadorial house For sale in Nyari, Nyari, Nairobi",6,120000000
856,Seated on half an acre Unique modern Design. Curved roofs Ample parking High ceilings Fully carpeted Upvc Windows Tinted glass Lo...,"Runda, Nairobi",6,170000000
881,"6 Bedroom house with a 1 bedroom DSQ (domestic servant quarter) in Mountain View Estate, on Waiyaki Way. The house sits on...","Mountain View, Nairobi",6,60000000
889,"A desirable and contemporary, 6 bedroom all en-suite house quietly nestled within a gated community in the leafy locale of Karen....","Karen, Nairobi",6,80000000
892,"A desirable and contemporary, 6 bedroom all en-suite house quietly nestled within a gated community in the leafy locale of Karen....","Karen, Nairobi",6,80000000
905,This is a six bedroom house situated in a lovely green area of old Runda off Ruaka road. The house is built...,"Runda, Nairobi",6,130000000
920,This is a beautiful old colonial style ambassadorial home built on ONE ACRE of mature botanic garden in Lavington area of Nairobi.,"Lavington, Lavington, Nairobi",6,183000000
928,"A charming 6 bedroom home located in the lavish Runda suburb boasting modern finishes, unique lighting features, a mature garden ...","Runda Mumwe, Runda, Nairobi",6,130000000
943,The house has elegant finishing embedded by a world class design and it contains the following features; * sits on half an...,"Thome, Nairobi",6,75000000
965,A beautiful 6 bedroom for Sale . In Runda near Two rivers mall On a 1/2 acre piece of land 6 master...,"Near Two Rivers Mall, Runda, Nairobi",6,75000000
988,*Stand alone house to let *Newly built *6 bedroomed *All ensuite *with modern facilities and finishings * Well manicured compound...,"Runda, Nairobi",6,500000
1017,A 6-bedroom double storey 2 ensuite with a mature garden comprising of a: Ground floor Covered verandah Entrance porch Lounge Sep...,"Syokimau, Nairobi",6,25000000
1020,"A modern 6 bedroom house on 1/2 acre garden located in Runda Very well secured with an electric fence , CCTV Surveillance...","Runda, Nairobi",6,150000000
1047,6bedrooms house in Gigiri on 1acre asking price 450million,"Gigiri road, Gigiri, Nairobi",6,450000000
1064,this internationally built house has 6 bedrooms with two extensions on mbogani road. very beautiful with flowers from Spain. Its ...,"Karen, Nairobi",6,85000000
1116,"A 6 bedroom house for sale in Karen, Karen plains. The 2 bedrooms are master ensuite. property features: -Open plan for sitting...","Karen, Nairobi",6,70000000
1149,"6bdm with, 3bdm guest house, 4sq, two extension, Its international house with luxurious swimming pool, tenis court, basket ball c...","Karen, Nairobi",6,250000000
1162,"6 bedroom house for sale in Mimosa, Runda. key features: -All bedrooms are ensuite . -Modern kitchen , bedrooms a, living room...","Runda, Nairobi",6,130000000
1187,"Located Close to the Ridgeways Shopping Mall, UN Offices Complex, US Embassy, A double storey that is finished to a high standard...","Runda Road Close to the Village Market , Off UN avenue, Runda, Nairobi",6,130000000
1210,Gigiri 6 bedrooms house on 1 acre 450m,"Gigiri, Nairobi",6,450000000
1220,"A well renovated. 6br double storey house. 3ensuite, with 2br guests house, 2dsqs, Master En suite with a bathtub and a shower,...","Kitisuru, Nairobi",6,130000000
1223,"Located a short walking distance to United Nations Offices in Nairobi. A spacious, old but well maintained six bedroom ambassador...","Gigiri, Nairobi",6,
1226,"A palatial 6 bedroom house with swimming pool, tennis court, gazebo and outbuildings on 2. 6 acres of mature garden on Kitisuru...","Tate Close, Kitisuru, Nairobi",6,425000000
1241,Aluxurious double storey house set in a serene court of few houses each on its own enclosed 1/8 acre compound. It is...,"sun valley, Langata, Nairobi",6,28000000
1244,This extensive home is so huge you could literally get lost! The rooms are super spacious and very well lit. The house...,"Karen, Nairobi",6,90000000
1273,"Located in Runda A 1/2 acre plot in this prime location with access from the main Road , level plot in this...","Panafric insurance Road , Runda, Nairobi",6,45000000
1287,"0. 8 acres of FREEHOLD Townhouses Development Land . The plot have an existing house 6 Bedrooms Bungalow , Prime Location secure....","Lavington mall, Lavington, Nairobi",6,180000000
1294,"0. 8 acres of FREEHOLD Townhouses Development Land . The plot have an existing house 6 Bedrooms Bungalow , Prime Location secure....","Lavington mall, Lavington, Nairobi",6,180000000
1303,1/2 acre in Karen off kisembe road approx 800m from magadi road with a two wing 6 bed room house valued at...,"Kisembe Rd Nairobi, Karen, Nairobi",6,45000000
1307,Runda -Mimosa 6 bedroom house for sale . Key features: -Detached guest house. -Swimming pool. -Bore hole. -UN approved survey don...,"Runda, Nairobi",6,100000000
1329,"This is a 6 bedroom all en suit modern stand alone house in Runda. Very modern and executive. High end finishing. 1,...","Benin Dr Kitisuru, Runda, Nairobi",6,170000000
1340,Elegant and spacious house in a gated community in Runda 5 bedrooms(all en-suite) GROUND FLOOR Large entrance hall Bright spaciou...,"Runda, Runda, Nairobi",6,96000000
1344,This is a Spacious and well maintained 6 bedrooms double storied house sitting on half acre mature flat well kept garden. MAIN...,"Peponi road, Peponi, Nairobi",6,85000000
1346,This is a new and modern 6 bedrooms all en suite Ambassadorial house located in a quiet and secure area in Runda...,"Mimosa drive, Runda, Nairobi",6,130000000
1376,"A stunning. 6br double storey house on 1. 1acres of land in Avery secure area of Lavington. 5 bedrooms all en suite,...","Lavington, Nairobi",6,240000000
0,This is an old but Beautiful 5 Bed Room Residence. Located in a Serene Neighborhood within a Gated Community. >Main House has...,"Shinyaru Road, Loresho Central, Loresho, Nairobi",5,85000000
1,Magnificent. full of beauty,"Runda, Nairobi",5,28950000
3,a cosy five bedroom all en suite standalone bungalow on sale in Karen on a serene cul-de-saac.,"Karen, Nairobi",5,55000000
4,Located along Getathuru road off Lower kabete In a gated community Seating on almost half an acre land Spacious lounge with a...,"OFF LOWER KABETE, Westlands, Nairobi",5,110000000
6,"Classic home! Spacious lounge with a fire place, Fitted kitchen with a breakfast area, Study room, Large terrace with open fire p...","Karen, Karen, Nairobi",5,80000000
8,Located in Runda is this beautiful 5 bedrooms double story house sitting on 0. 5 well kept garden in good condition. The...,"Runda, Runda, Nairobi",5,100000000
9,BRAND NEW and stunning wrapped in character and charm Located in an extremely serene environment Spacious sunken lounge with a fu...,"OFF PAN AFRIC DRIVE, Runda, Nairobi",5,140000000
