,desc,location,size,value
1117,Runda-Brand New 7 Bedroom Double Storey House for sale,"Runda close to Embassies ,UN offices,International schools and shopping malls, Runda, Nairobi, Nairobi",7,160000000
1132,"7 Bedroom House in Muthaiga for sale at KES 1,000,000,000","Muthaiga, Nairobi, Nairobi",7,1000000000
1180,LAND SUITABLE FOR DEVELOPMENT,"Lavington, Nairobi, Nairobi",7,200000000
1362,"Gigiri, 7 Bedroom House for sale","nyari estate, Gigiri, Nairobi, Nairobi",7,110000000
1363,Elegant Commercial Double Storey House with Swimming Pool on 1 Acre in Lavington,"Lavington, Lavington, Nairobi, Nairobi",7,400000000
1371,"Prime 10 Acre Property for sale on Miotoni Road, Karen","Miotoni Road, Karen ,Nairobi Kenya, Karen, Nairobi, Nairobi",7,640000000
1381,A 7 Bedroom Villa in Karen,"Karen Marist Lane, Karen, Nairobi, Nairobi",7,140000000
1457,* Runda Beautiful Brand New 7 Bedroom House,"Runda close to Braeburn school,UN offices,Embassies  and shopping malls, Runda, Nairobi, Nairobi",7,240000000
3,6 bedroom House For Sale in Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6,58000000
24,A Homely Six Bedrooms Housed in the Heart of Old Runda,"runda groove, Runda, Nairobi, Nairobi",6,90000000
31,6 Bedroom Townhouse Runda,"Pan African Insurance Ave , Runda, Runda, Nairobi, Nairobi",6,140000000
33,RUNDA:STUNNING 6BEDROOM MANSION FOR SALE,"Runda, Nairobi, Nairobi",6,250000000
45,Stunning Classic 6 Bedroom Standalone House in Lavington on 3/4 piece of land,"LAVINGTON, Lavington, Nairobi, Nairobi",6,270000000
73,Runda: Magnificent Ambassadorial,"Runda, Nairobi, Nairobi",6,145000000
122,6 Bedroom Houses in Kitisuru - Magnolia Lake Side,"Kirawa Rd, Kitisuru, Nairobi, Nairobi",6,140000000
258,6 Bedroom House For Sale In Karen (Kenya) - 3KE1346197,"Karen, Nairobi, Nairobi",6,79000000
271,6 Bedroom House For Sale In Runda (Kenya) - 3KE1354324,"Runda, Nairobi, Nairobi",6,73000000
272,6 Bedroom House For Sale In Karen (Kenya) - 3KE1500005,"Karen, Nairobi, Nairobi",6,85000000
274,Pleasant 6 Bedroom Maisonette in Golden Estate South B,"South B, Nairobi, Nairobi",6,23000000
296,Six Bedroom Townhouse with a Two BR Guest Wing in a Gated Community,"st elizabeth, Karen, Nairobi, Nairobi",6,90000000
302,Ambassadorial House-Runda,"runda, Runda, Nairobi, Nairobi",6,145000000
304,6 Bedroom House For Sale In Lavington (Kenya) - 3KE1364210,"Lavington, Nairobi, Nairobi",6,400000000
336,6 Bedroom House For Sale In Karen (Kenya) - 3KE1354364,"Karen, Nairobi, Nairobi",6,150000000
339,6 Bedroom House on 1/2 Acre Plot in New Muthaiga,"Muthaiga, Nairobi, Nairobi",6,170000000
346,Stunning 6 Bedroom Mansion for sale,"runda, Runda, Nairobi, Nairobi",6,160000000
350,6 Bedroom House in Karen  - 3KE1346197,"Karen, Karen, Nairobi, Nairobi",6,79000000
370,6 Bedroom House in Karen - 3KE1354364,"Karen, Karen, Nairobi, Nairobi",6,150000000
373,Unique 6 bedroom House For Sale in Garden Estate,"GARDEN ESTATE, Garden Estate, Nairobi, Nairobi",6,61000000
380,6 bedroom house for sale in Thome,"Thome, Thome, Nairobi, Nairobi",6,65000000
387,6 Bedroom House For Sale In Karen (Kenya) - 3KE1370980,"Karen, Nairobi, Nairobi",6,0
404,Exceptional 6 Bedroom House on 26 Acres on Kitisuru Estate - S254,"Tate Close, Kitisuru, Nairobi, Nairobi",6,425000000
414,6 Bedroom Castle House Sitting on 1/2 Acre,"Runda, Nairobi, Nairobi",6,110000000
491,6 Bedroom House for sale in Karen,"Karen,nairobi, Karen, Nairobi, Nairobi",6,90000000
500,6 Bedroom Ambassadorial House on 1.25 Acres in Old Runda,"Ruaka Drive, Runda, Nairobi, Nairobi",6,210000000
508,6 Bedroom House With 2 Detached Sqs for sale Along Thika Road,"Kenyatta Rd, Thika Road, Nairobi, Nairobi",6,16000000
535,6bedroom house for sale in old muthaiga,"Muthaiga North, Nairobi, Nairobi",6,400000000
568,"6 Bedroom Townhouse For Sale in Karen, Nairobi","Karen, Karen, Nairobi, Nairobi",6,95000000
572,6 Bedroom Townhouse Membley,"Membley, Membley, Nairobi, Nairobi",6,23000000
588,Modern 6 Br Town House,"Kitisuru, Nairobi, Nairobi",6,165000000
614,6 Bedroom Townhouse in Its Own Compound in Kileleshwa,"Mwingi, Kileleshwa, Nairobi, Nairobi",6,70000000
618,SOUTH B RIVER BANK - MAISONETTE (CONVERTED INTO  BEDSITTERS),"RIVER BANK ESTATE., South B, Nairobi, Nairobi",6,17000000
623,RUNDA - 6 BEDROOMS - ALL EN SUITE DOUBLE STOREY HOUSE,"pan african insurance road, Runda, Nairobi, Nairobi",6,180000000
651,6 Bedroom Townhouse,"Isaac gathanju road, Lavington, Nairobi, Nairobi",6,85000000
665,"6 BEDROOM, 3 LEVEL TOWN HOUSE ON SALE  IN LAVINGTON","Lavington, Lavington, Nairobi, Nairobi",6,65700000
700,Beutiful 5 Bedroom SQ,"James gichuru, Lavington, Nairobi, Nairobi",6,300000
710,6 Bedroom Townhouse for sale in Lavington,"James Gichuru, Lavington, Nairobi, Nairobi",6,78000000
719,6 Bedroom Standalone In Nyari - Pioneer Close - 1220-I,"Nyari, Nairobi, Nairobi",6,85000000
723,6 Bedroom Ambassadorial House for sale on 36 Acres in Muthaiga,"Muthaiga Rd, Muthaiga, Nairobi, Nairobi",6,0
729,"The Best of Runda , Ambassadorial House","Runda, Runda, Nairobi, Nairobi",6,140000000
738,An Executive And Modern 6 Bedroom Al En Suite Ambassadorial House on 1 Acre in Runda,"Mimosa Drive, Runda, Nairobi, Nairobi",6,130000000
757,"5 BEDROOM, 3 LEVEL TOWN HOUSE ON SALE  IN LAVINGTON","Lavington, Lavington, Nairobi, Nairobi",6,80000000
778,6 Bedroom House For Sale In Kitisuru,"Kitisuru, Kitisuru, Nairobi, Nairobi",6,74900000
789,6 Bedroom Townhouse for sale in Kileleshwa,"Laikipia Rd, Kileleshwa, Nairobi, Nairobi",6,120000000
801,A Homely Lovely Five Bedroom Town House in Runda,"Cactus Street, Nairobi, New Runda, Runda, Nairobi, Nairobi",6,100000000
821,The Ambassadorial 6 Bedroom With Sq,"Runda, Runda, Nairobi, Nairobi",6,140000000
826,"Palatial 6 Bedroom House in Karen, Bogani","Karen, Bogani, Karen, Nairobi, Nairobi",6,90000000
867,Magnificent 6 Bedrooms Villa,"Peponi  Road, Kitisuru, Nairobi, Nairobi",6,140000000
877,6 Bedroom Maisonette - Miotoni-Karen,"MIOTONI, Karen, Nairobi, Nairobi",6,150000000
880,6 Bedroom Townhouse for sale in Lavington,"Gitanga Road, Lavington, Nairobi, Nairobi",6,40000000
886,6 bedroom house for sale in Karen-3KE1370980,"Karen, Nairobi, Nairobi",6,0
890,Spectacular Family Home for sale in Karen,"Karen, Bogani Road, Karen, Nairobi, Nairobi",6,85000000
931,"Nyari, House for sale","NYARI, Nyari, Nairobi, Nairobi",6,90000000
941,6 Bedroom House in A 1/2 Acre Compound for sale- Garden Estate,"Garden Estate, Garden Estate, Nairobi, Nairobi",6,250000000
983,A Cosy Six Bedrooms Town House in Runda,"runda groove, Runda, Nairobi, Nairobi",6,85000000
1028,The Crown Jewel House in Nyari,"Nyari, Nairobi, Nairobi",6,135000000
1032,6 Bedroom Townhouse for sale in Kileleshwa,"Laikipia Rd, Kileleshwa, Nairobi, Nairobi",6,120000000
1037,Gorgeous 6 Bedroom House in Karen - 3KE1500005,"Karen, Nairobi, Nairobi",6,85000000
1038,6 Bedroom House Available for sale in Nyari,"Nyari, Nairobi, Nairobi",6,200000000
1043,Townhouse for sale,"Isaac gathanju road, Lavington, Nairobi, Nairobi",6,85000000
1113,Runda (old Runda) 2 Lovely 6 Bedroom mordern Houses located on a 1.068 Acre of Land,"runda, Runda, Nairobi, Nairobi",6,220000000
1158,6 Bedroom  All Ensute Townhouse For Sale In Runda,"Ruaka Drive, Runda, Nairobi, Nairobi",6,130000000
1183,6 Bedroom House for sale in Karen,"Bosco Road, Karen, Nairobi, Nairobi",6,80000000
1188,Magnificent Ambassadorial House For Sale In Runda,"Runda, Nairobi, Nairobi",6,160000000
1207,Ambassadorial House for sale,"Karen, Karen, Nairobi, Nairobi",6,85000000
1217,"6 Bedroom Townhouse on Half Acre Land for sale in Nzohe Lane, Karen","Nzohe road ,Karen, Karen, Nairobi, Nairobi",6,92000000
1284,2 Massionate for sale  in Kasarani at Sports View,"THIKA ROAD, Kasarani, Nairobi, Nairobi",6,20000000
1316,Luxurious 6 bedroom with 2 ensuite in new kitusuru for sale.,"Kitisuru, Nairobi, Nairobi",6,130000000
1321,The Ambassadorial 6 Bedroom Sq in Runda,"Runda, Runda, Nairobi, Nairobi",6,140000000
1322,6 Bedroom Townhouse For Sale In Kilimani,"Elgeyo Marakwet Road, Kilimani, Nairobi, Nairobi",6,40000000
1325,6 Bedroom House for sale in Nyari,"Nyari, Nairobi, Nairobi",6,350000000
1329,6 Bedroom Townhouse For Sale In Lavington,"James Gichuru Rd, Lavington, Nairobi, Nairobi",6,70000000
1388,6 bedroom Townhouse for sale in Karen,"Karen, Karen, Nairobi, Nairobi",6,85000000
1418,Six Bedroom Townhouse for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",6,80000000
1429,6 Bedroom  Maison in New Muthaiga,"thigiri grove, Muthaiga, Nairobi, Nairobi",6,160000000
1451,Beautiful Double Storey Nyari House,"Redhill, Nyari, Nairobi, Nairobi",6,485000000
1452,6 Bedroom Town-House for sale in Runda,"Runda, Nairobi, Nairobi",6,70000000
10,5 Bedroom House On Grevillea Grove – Elite Garden Villas,"Grevillea Grove, Grevillea Grove, Nairobi, Nairobi",5,75000000
12,5 BEDROOM 3 LEVEL AMBASSADORIAL VILLA  ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5,100000000
14,Elegant 5 Bedroom House in Thigiri Ridge,"Thigiri, Nairobi, Nairobi",5,120000000
16,Prestigious and Unique! Lavington Five Bedroom Townhouse With SQ,"amboselli lavington, Lavington, Nairobi, Nairobi",5,65000000
17,A Living Legend! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5,52000000
18,Suburban Oasis! Runda Mae Ridge 5 bed house,"Runda, Runda, Nairobi, Nairobi",5,110000000
20,Grand and cozy! Karen house,"Karen, Karen, Nairobi, Nairobi",5,80000000
21,5 BEDROOM VILLA HOUSE ON SALE IN KAREN,"Karen, Nairobi, Nairobi",5,110000000
22,A Luxurious 5 Bedrooms House in Runda,"Close to UN, Runda, Nairobi, Nairobi",5,140000000
27,New 5 bedroom double storey plus DSQ for sale along Bogani Rd in Karen,"Bogani Rd, Karen, Nairobi, Nairobi",5,100000000
28,World Class 5 Bedrooms all Ensuite Town House in Lavington,"Lavington, Nairobi, Nairobi",5,65000000
30,Elegant 5 Bedroom Villas in Karen,"Karen, Nairobi, Nairobi",5,85000000
34,Lower Kabete:5 Bedroom Townhouse,"lower kabete road, Lower Kabete, Nairobi, Nairobi",5,120000000
35,5 Bedroom Townhouse Karen,"Fair Acres Karen, Karen, Nairobi, Nairobi",5,80000000
36,Beautiful & Spacious 5 Bedroom Townhouse on Brookside,"WESTLANDS, Westlands, Nairobi, Nairobi",5,60000000
37,"5 Bedroom House for sale, Lavington","Njumbi Road, Lavington, Nairobi, Nairobi",5,95000000
41,World Class 5 Bedrooms with DSQ House for sale in Lavington,"Lavington, Nairobi, Nairobi",5,65000000
47,LARGE FAMILY HOME FOR SALE,"Karen, Nairobi, Nairobi",5,60000000
49,5 Bedroom Townhouse in Runda in a Gated Community,"runda water, Runda, Nairobi, Nairobi",5,90000000
50,Modern Luxurious 5 Bedroom Townhouse in Kitengela for sale,"Riruta, Nairobi, Nairobi",5,20000000
62,Luxury Home In Runda,"Ruaka Road, Runda, Nairobi, Nairobi",5,255000000
66,NEW KITISURU - 4 BEDROOMS ALL - ENSUITE DOUBLE STOREY HOUSE PLUS STUDY ROOM.,"NEW KITISURU, Kitisuru, Nairobi, Nairobi",5,72000000
68,Nasra 5 Bed Room Maisonette,"Nasra, Umoja, Nairobi, Nairobi",5,12500000
69,Spacious 5 Bedroom Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5,72000000
72,4 Bedroom Luxury townhouse - Lavington,"Lavington, Nairobi, Nairobi",5,75000000
76,Stunningly Beautyfull House in Runda,"Runda, Nairobi, Nairobi",5,190000000
77,Meticulous 5 Bedroom in a Gated Community,"Karen, Nairobi, Nairobi",5,100000000
78,18 0405 ST Acquire This Elegant Property Loaded with Stunning Architectural Detail. 18 04 17,"Lavington Green Near Jaffrey Club, Lavington, Nairobi, Nairobi",5,83000000
82,18 0211 SR Prime Residential Complex. 17 01 04,"Grevellia Groove, Brookside, Nairobi, Nairobi",5,240000000
83,5 Bedrooms House in Kitisuru Nairobi on Half Acre,"Kitisuru, Nairobi, Nairobi",5,67500000
84,17 1012 ST Sensational voluminous branded townhouse on offer. 17 04 22,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",5,155000000
85,Stunning 5 Bedroom Town House for sale in Gated Community,"Spring Valley, Nairobi, Nairobi",5,65000000
87,A Charming 5 Bedroom all Ensuite Townhouse in Riverside Drive,"Riverside, Nairobi, Nairobi",5,72000000
93,17 1006 ST Modern living for the new lucky owner. 17 09 29,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",5,120000000
94,17 1042 ST Remarkable corner townhouse - Superb investment opportunity. 17 10 12,"Off Peponi Road, Spring Valley, Nairobi, Nairobi",5,80000000
96,TownHouse in Lavington,"Lavington, Nairobi, Nairobi",5,48500000
103,Luxurious 5 Bedrooms Very Spacious Home in Runda,"Runda, Nairobi, Nairobi",5,120000000
104,Newly Built 5 Bedroom (all Ensuite) Double Storey,"Karen, Nairobi, Nairobi",5,100000000
105,Luxurious 5 Bedrooms plus 2sq House in Karen,"Karen, Nairobi, Nairobi",5,60000000
106,Luxurious 5 Bedrooms all Ensuite plus 2 Sq Home in Kyuna,"Kyuna, Nairobi, Nairobi",5,100000000
111,Bamboo  Gardens  - New 5 Bedroom Double- Storey Plus Sq  On Eighth Acre   for sale in Ruiru,"Bamboo Gardens Ruiru, Ruiru, Nairobi, Nairobi",5,30000000
112,Modern Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5,80000000
113,Sunrise Avenue! Karen Five Bedroom Townhouse,"karen, Karen, Nairobi, Nairobi",5,88000000
116,Golden Rays ! Westlands 5 Bedroom Townhouse,"westlands brookside drive, Westlands, Nairobi, Nairobi",5,135000000
119,Palatial 5 Bedroom House in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5,115000000
123,"6 Bedrooms, 2 Storey House for sale in Garden Estate Nairobi","off Garden Estate Road, Garden Estate, Nairobi, Nairobi",5,52500000
124,Stylish Urban Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5,80000000
128,Exclusive Modern Townhouse,"Amara Ridge, Karen, Nairobi, Nairobi",5,110000000
129,5 Bedroomed Town House Under Offer,"Ongata Rongai Rangau Area, Kajiado, Nairobi, Nairobi",5,6900000
132,5 Bedroomed Town House Under Offer,"Ongata Rongai Rangau Area, Kajiado, Nairobi, Nairobi",5,6900000
133,West Tides ! Westlands 5 Bedroom Townhouse,"westlands church road, Westlands, Nairobi, Nairobi",5,45000000
134,Sun drops Oasis! Lavington 5 Bedrooms Villa.,"Lavington, Lavington, Nairobi, Nairobi",5,75000000
135,Modern Luxurious House,"kitengela, Ngong Road, Nairobi, Nairobi",5,15000000
137,Modern High End 5 Bedroom House - Ridgeways,"Ridgeways, Nairobi, Nairobi",5,90000000
138,Beautiful 5 Bedroom in Runda,"RUNDA, Runda, Nairobi, Nairobi",5,150000000
141,4 Bedroom House in on 0.5 Acre in a Gated Community.,"windy ridge, Karen, Nairobi, Nairobi",5,78000000
145,5 Bedroomed Town House at  Rangau,"ongata Rongai Rangau, Kajiado, Nairobi, Nairobi",5,6900000
152,Apartment at Nairobi,"Lavington, Lavington, Nairobi, Nairobi",5,100000000
157,"Spacious,ready 5 Bedroom House","Mwananchi road,Syokimau, Syokimau, Nairobi, Nairobi",5,17000000
159,Palatial Karen 5 Bedroom Home,"Karen, Karen, Nairobi, Nairobi",5,110000000
160,Kileleshwa 5 Bedroom Maisonette,"kileleshwa, Kileleshwa, Nairobi, Nairobi",5,60000000
161,"Lavish 5 Bedroom Townhouse with a Dsq in Lavington, Nairobi.","Lavington, Nairobi, Lavington, Nairobi, Nairobi",5,75000000
169,Masterfully Designed and Luxurious Villas,"Amara Ridge, Karen, Nairobi, Nairobi",5,110000000
172,Excellently Done 5 Bedroom Town House,"Lavington, Lavington, Nairobi, Nairobi",5,65000000
173,5 Bedroom House  in Karen (Kenya) 3ke1381571,"Karen, Nairobi, Nairobi",5,115000000
174,5 Bedroom Villa in Karen,"karen, Karen, Nairobi, Nairobi",5,170000000
175,Masterfully Designed and Townhouse Apartments,"Lavington, Lavington, Nairobi, Nairobi",5,75000000
179,Modern Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5,75000000
185,Karen 5 Bedroom Town House,"Karen, Hillcrest Road, Karen, Nairobi, Nairobi",5,85000000
189,5 Bedroom Villas in Karen,"karen, Karen, Nairobi, Nairobi",5,170000000
194,5 Bedroom Luxurious House,"siaya road, Kileleshwa, Nairobi, Nairobi",5,285000000
195,Magnificent 5 Bedroom,"RUNDA, Runda, Nairobi, Nairobi",5,200000000
198,Sparkle in the Woods ! Runda 5 Bedrooms Townhouse,"runda, Runda, Nairobi, Nairobi",5,78000000
200,Exclusively Done Townhouse,"Riverside drive, Riverside, Nairobi, Nairobi",5,60000000
206,A Beautiful 5 Bedroom Townhouse in Lavington,"Lavington, Nairobi, Nairobi",5,65000000
207,Lavington 5 Bedroom (all Ensuite) Villa,"Hatheru Rd, Lavington, Nairobi, Nairobi",5,60000000
208,5 Bedroom all Ensuite in Karen,"Karen, near the Hub, Karen, Nairobi, Nairobi",5,100000000
215,5 Bedroom Townhouse Karen,"Kasuku Dr, Karen, Nairobi, Nairobi",5,85000000
216,Prestigious! Karen Five Bedroom Townhouse with SQ,"karen, Karen, Nairobi, Nairobi",5,90000000
219,"5 Br Townhouse, Lavington","Mzima Springs, Lavington, Nairobi, Nairobi",5,85000000
221,5br Townhouse at  Lavington,"Lavington, Lavington, Nairobi, Nairobi",5,80000000
224,Vacation Living! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5,80000000
231,"A Spacious 5 Bedroom all Ensuite Bungalow in Muigai Estate, Kitengela","Kitengela, Kajiado, Nairobi, Nairobi",5,12000000
235,Lavish Living ! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5,75000000
237,Townhouse in Karen,"Karen, Karen, Nairobi, Nairobi",5,115000000
242,Beautiful Townhouse with Italian Finishing in Lavington,"Lavington, Nairobi, Nairobi",5,75000000
245,House in Syokimau,"Syokimau, Nairobi, Nairobi",5,14000000
247,Runda  5 Bedroom House,"Runda, Nairobi, Nairobi",5,95000000
248,Elegant Houses in Karen,"Karen, Karen, Nairobi, Nairobi",5,150000000
249,Lavington Superb 5 Bedroom Townhouses,"chalbi drive, Lavington, Nairobi, Nairobi",5,70000000
251,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1313001,"Lavington, Nairobi, Nairobi",5,65000000
252,Modern 5 Bedroom All-Ensuite House in Karen,"Karen, Nairobi, Nairobi",5,80000000
253,5 Bedroom in Kitengela New Valley Estate,"Machakos, Nairobi, Nairobi",5,8000000
254,5 Bedroom Townhouse For Sale In Kilimani (Kenya) - 3KE1348541,"Kilimani, Nairobi, Nairobi",5,53608246
257,Bright and Spacious Townhouse,"Lavington, Nairobi, Nairobi",5,75000000
260,5 Bedroom House for Rent/sale in a Gated Comunity  in Lavington,"AMBOSELI GARDENS, Lavington, Nairobi, Nairobi",5,75000000
261,Karen 5 Bedroom Townhouse,"Karen, Karen, Nairobi, Nairobi",5,80000000
265,"5 Bedroom House in Mwihoko, Nairobi","Githurai, Nairobi, Nairobi",5,12500000
266,Classy 5 Bedrooms Executive Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5,110000000
269,Lovely 5 Bedroom with servant quarters (sq) for sale in kitisuri,"Kitisuru, Nairobi, Nairobi",5,60000000
270,Luxurious 5 Bedroom with SQ in Lavington,"Lavington, Nairobi, Nairobi",5,65000000
273,5 Bedroom House For Sale In Ridgeways (Kenya) - 3KE1374150,"Ridgeways, Nairobi, Nairobi",5,86000000
275,5 bedroom plus 2 DSQ,"Runda, Runda, Nairobi, Nairobi",5,85000000
285,Lavish 5 Bedroom House in Karen,"Karen, Nairobi, Nairobi",5,115000000
286,5 Bedroom House for sale at Donyo Sabuk,"Donyo Sabuk, Westlands, Nairobi, Nairobi",5,150000000
290,"5 Bedroom Home on 06 Acres, Muthaiga","Coffee Garden Drive, Muthaiga, Nairobi, Nairobi",5,70000000
293,Luxurious 5 Bedroom Villas in Karen,"Karen, Karen, Nairobi, Nairobi",5,80000000
294,Luxurious 4 Storey Townhouse,"Lavington, Nairobi, Nairobi",5,95000000
299,Beautiful 5 Bedroom All Ensuite Townhouse in Lavington,"Nairobi, Nairobi",5,75000000
303,Very Spacious Luxurious 5 Bedroom House Stand Alone Species in Mountain View,"Mountain View, Nairobi, Nairobi",5,60000000
306,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1365606,"Lavington, Nairobi, Nairobi",5,58500000
307,5 Bedroom House For Sale In Karen - 3ke1342762,"Karen Plains, Karen, Nairobi, Nairobi",5,60000000
309,An Elegant and Beautiful 5 Bedroom House on 1 Acre in Muthaiga,"Muthaiga, Muthaiga, Nairobi, Nairobi",5,270000000
311,County cottage! Lavington Five Bedroom Townhouse With SQ,"Lavington, Lavington, Nairobi, Nairobi",5,55000000
312,Townhouse at Lavington,"Lavington, Nairobi, Nairobi",5,95000000
315,5 Bedroom Unfinished Villa in Utawala,"Utawala, Utawala , Nairobi, Nairobi",5,10000000
